id,shop_id,name,display_order,is_active
cat_001_01,shop_001,Cơm,1,1
cat_001_02,shop_001,Canh,2,1
cat_001_03,shop_001,Đồ uống,3,1
cat_002_01,shop_002,Bún,1,1
cat_002_02,shop_002,Món thêm,2,1
cat_002_03,shop_002,Đồ uống,3,1
cat_003_01,shop_003,Gà rán,1,1
cat_003_02,shop_003,Cơm,2,1
cat_003_03,shop_003,Ăn vặt,3,1
cat_003_04,shop_003,Combo,4,1
cat_004_01,shop_004,Healthy Bowl,1,1
cat_004_02,shop_004,Salad,2,1
cat_004_03,shop_004,Đồ uống,3,1
cat_005_01,shop_005,Mì,1,1
cat_005_02,shop_005,Ăn vặt,2,1
cat_005_03,shop_005,Đồ uống,3,1
cat_006_01,shop_006,Bánh mì,1,1
cat_006_02,shop_006,Đồ uống,2,1
cat_007_01,shop_007,Phở,1,1
cat_007_02,shop_007,Món thêm,2,1
cat_007_03,shop_007,Đồ uống,3,1
cat_008_01,shop_008,Bún,1,1
cat_008_02,shop_008,Cuốn,2,1
cat_008_03,shop_008,Món thêm,3,1
cat_008_04,shop_008,Đồ uống,4,1
cat_009_01,shop_009,Pizza,1,1
cat_009_02,shop_009,Mì Ý,2,1
cat_009_03,shop_009,Ăn vặt,3,1
cat_009_04,shop_009,Combo,4,1
cat_010_01,shop_010,Bento,1,1
cat_010_02,shop_010,Sushi,2,1
cat_010_03,shop_010,Cơm,3,1
cat_010_04,shop_010,Canh,4,1
cat_010_05,shop_010,Đồ uống,5,1
cat_011_01,shop_011,Lẩu,1,1
cat_011_02,shop_011,Món thêm,2,1
cat_011_03,shop_011,Đồ uống,3,1
cat_012_01,shop_012,Cơm,1,1
cat_012_02,shop_012,Bún,2,1
cat_012_03,shop_012,Cuốn,3,1
cat_012_04,shop_012,Món chính,4,1
cat_012_05,shop_012,Canh,5,1
cat_012_06,shop_012,Đồ uống,6,1
cat_013_01,shop_013,Dimsum,1,1
cat_013_02,shop_013,Mì,2,1
cat_013_03,shop_013,Đồ uống,3,1
cat_014_01,shop_014,Burger,1,1
cat_014_02,shop_014,Ăn vặt,2,1
cat_014_03,shop_014,Combo,3,1
cat_014_04,shop_014,Đồ uống,4,1
cat_015_01,shop_015,Cơm,1,1
cat_015_02,shop_015,Gỏi,2,1
cat_015_03,shop_015,Canh,3,1
cat_015_04,shop_015,Đồ uống,4,1
cat_016_01,shop_016,Bún đậu,1,1
cat_016_02,shop_016,Ăn vặt,2,1
cat_016_03,shop_016,Món thêm,3,1
cat_016_04,shop_016,Đồ uống,4,1
cat_017_01,shop_017,Trà sữa,1,1
cat_017_02,shop_017,Trà trái cây,2,1
cat_017_03,shop_017,Topping,3,1
cat_017_04,shop_017,Đồ uống,4,1
cat_018_01,shop_018,Cháo,1,1
cat_018_02,shop_018,Súp,2,1
cat_018_03,shop_018,Món thêm,3,1
cat_018_04,shop_018,Đồ uống,4,1
cat_019_01,shop_019,Cơm,1,1
cat_019_02,shop_019,Món phụ,2,1
cat_019_03,shop_019,Canh,3,1
cat_019_04,shop_019,Đồ uống,4,1
cat_020_01,shop_020,Bánh canh,1,1
cat_020_02,shop_020,Món thêm,2,1
cat_020_03,shop_020,Đồ uống,3,1
cat_021_01,shop_021,Mì xào,1,1
cat_021_02,shop_021,Cơm,2,1
cat_021_03,shop_021,Súp,3,1
cat_021_04,shop_021,Gỏi,4,1
cat_021_05,shop_021,Tráng miệng,5,1
cat_021_06,shop_021,Đồ uống,6,1
cat_022_01,shop_022,Mì,1,1
cat_022_02,shop_022,Món thêm,2,1
cat_022_03,shop_022,Đồ uống,3,1
cat_023_01,shop_023,Xôi,1,1
cat_023_02,shop_023,Món thêm,2,1
cat_023_03,shop_023,Đồ uống,3,1
cat_024_01,shop_024,Bún,1,1
