id,shop_id,ward_id,street_address,full_address,landmark,latitude,longitude,geohash,delivery_radius_km,parking_available,dine_in_available
addr_001,shop_001,ward_ben_thanh,94 Phan Bội Châu,"94 Phan Bội Châu, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",gần công viên,10.774997,106.697233,w3gv9705,4.3,1,0
addr_002,shop_002,ward_da_kao,Hẻm 207/190 Nguyễn Đình Chiểu,"Hẻm 207/190 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",khu ăn uống,10.790668,106.69868,w3gv5613,3.2,0,0
addr_003,shop_003,ward_ben_nghe,170 Lê Lợi,"170 Lê Lợi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",mặt tiền đường,10.777832,106.700967,w3gv6873,3.6,1,0
addr_004,shop_004,ward_nguyen_thai_binh,46 Yersin,"46 Yersin, Phường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh",mặt tiền đường,10.765494,106.699933,w3gv7756,6.2,1,0
addr_005,shop_005,ward_cau_ong_lanh,39 Đề Thám,"39 Đề Thám, Phường Cầu Ông Lãnh, Quận 1, TP. Hồ Chí Minh",hẻm xe máy,10.767938,106.693152,w3gv8263,5.3,1,0
addr_006,shop_006,ward_tan_dinh,197 Võ Thị Sáu,"197 Võ Thị Sáu, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",hẻm xe máy,10.794637,106.693534,w3gv2024,4.3,0,1
addr_007,shop_007,ward_ben_thanh,220 Nguyễn Trung Trực,"220 Nguyễn Trung Trực, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",hẻm xe máy,10.774813,106.695116,w3gv3041,3.7,0,0
addr_008,shop_008,ward_nguyen_cu_trinh,197 Trần Đình Xu,"197 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP. Hồ Chí Minh",mặt tiền đường,10.760948,106.688016,w3gv1190,3.1,1,0
addr_009,shop_009,ward_ben_nghe,147 Đồng Khởi,"147 Đồng Khởi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",gần tòa nhà văn phòng,10.776256,106.702768,w3gv6589,3.9,0,0
addr_010,shop_010,ward_ben_nghe,168 Hai Bà Trưng,"168 Hai Bà Trưng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",gần tòa nhà văn phòng,10.78321,106.705723,w3gv5107,3.6,1,1
addr_011,shop_011,ward_cau_kho,202 Nguyễn Văn Cừ,"202 Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",gần tòa nhà văn phòng,10.756856,106.690981,w3gv8787,5.2,1,0
addr_012,shop_012,ward_da_kao,67 Mai Thị Lựu,"67 Mai Thị Lựu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",gần tòa nhà văn phòng,10.790509,106.701512,w3gv4823,6.5,0,0
addr_013,shop_013,ward_ben_thanh,87 Lý Tự Trọng,"87 Lý Tự Trọng, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",hẻm xe máy,10.770486,106.698337,w3gv9974,5.4,1,0
addr_014,shop_014,ward_nguyen_thai_binh,48 Phó Đức Chính,"48 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh",khu ăn uống,10.767906,106.703311,w3gv7920,4.9,0,0
addr_015,shop_015,ward_ben_nghe,55 Mạc Thị Bưởi,"55 Mạc Thị Bưởi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",gần công viên,10.780757,106.707639,w3gv9131,4.0,0,1
addr_016,shop_016,ward_tan_dinh,Hẻm 77/190 Nguyễn Hữu Cầu,"Hẻm 77/190 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",gần chợ,10.789933,106.690592,w3gv1508,3.6,1,0
addr_017,shop_017,ward_ben_thanh,97 Lê Thánh Tôn,"97 Lê Thánh Tôn, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",đối diện trường học,10.775029,106.695009,w3gv3789,4.9,1,0
addr_018,shop_018,ward_cau_kho,102 Trần Đình Xu,"102 Trần Đình Xu, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",gần tòa nhà văn phòng,10.761434,106.687313,w3gv3147,6.2,1,0
addr_019,shop_019,ward_nguyen_cu_trinh,106 Trần Đình Xu,"106 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP. Hồ Chí Minh",gần công viên,10.759938,106.688679,w3gv5780,4.8,0,1
