shop_id,cuisine_id
shop_001,cuisine_060
shop_001,cuisine_026
shop_002,cuisine_060
shop_002,cuisine_012
shop_003,cuisine_033
shop_003,cuisine_030
shop_004,cuisine_031
shop_004,cuisine_051
shop_004,cuisine_029
shop_005,cuisine_033
shop_005,cuisine_041
shop_006,cuisine_060
shop_006,cuisine_008
shop_007,cuisine_060
shop_007,cuisine_048
shop_008,cuisine_060
shop_008,cuisine_016
shop_009,cuisine_064
shop_009,cuisine_049
shop_010,cuisine_045
shop_010,cuisine_054
shop_010,cuisine_002
shop_011,cuisine_038
shop_011,cuisine_060
shop_011,cuisine_056
shop_012,cuisine_019
shop_012,cuisine_060
shop_013,cuisine_032
shop_013,cuisine_028
shop_014,cuisine_044
shop_014,cuisine_005
shop_015,cuisine_053
shop_015,cuisine_023
shop_016,cuisine_060
shop_016,cuisine_017
shop_017,cuisine_065
shop_017,cuisine_059
shop_018,cuisine_060
shop_018,cuisine_020
shop_019,cuisine_060
shop_019,cuisine_025
shop_020,cuisine_060
shop_020,cuisine_007
shop_021,cuisine_057
shop_021,cuisine_043
shop_022,cuisine_036
shop_022,cuisine_042
shop_023,cuisine_060
shop_023,cuisine_062
shop_024,cuisine_060
shop_024,cuisine_015
shop_025,cuisine_058
shop_025,cuisine_037
shop_025,cuisine_061
shop_026,cuisine_060
shop_026,cuisine_027
shop_027,cuisine_060
shop_027,cuisine_067
shop_027,cuisine_034
shop_028,cuisine_018
shop_028,cuisine_004
shop_029,cuisine_060
shop_029,cuisine_040
shop_030,cuisine_039
shop_030,cuisine_055
shop_030,cuisine_006
shop_031,cuisine_060
shop_031,cuisine_024
shop_032,cuisine_045
shop_032,cuisine_050
shop_033,cuisine_060
shop_033,cuisine_013
shop_034,cuisine_033
shop_034,cuisine_003
shop_035,cuisine_066
shop_035,cuisine_021
shop_036,cuisine_031
shop_036,cuisine_051
shop_037,cuisine_060
shop_037,cuisine_011
shop_038,cuisine_060
shop_038,cuisine_022
shop_039,cuisine_060
shop_039,cuisine_035
shop_040,cuisine_060
shop_040,cuisine_010
shop_041,cuisine_063
shop_041,cuisine_052
shop_042,cuisine_001
shop_042,cuisine_046
shop_043,cuisine_047
shop_043,cuisine_009
shop_044,cuisine_060
shop_044,cuisine_014
