shop_id,payment_method_id
shop_001,pm_zalopay
shop_001,pm_card
shop_001,pm_momo
shop_001,pm_cash
shop_002,pm_shopeepay
shop_002,pm_zalopay
shop_002,pm_card
shop_003,pm_zalopay
shop_003,pm_shopeepay
shop_003,pm_cash
shop_003,pm_momo
shop_004,pm_shopeepay
shop_004,pm_zalopay
shop_004,pm_card
shop_004,pm_cash
shop_004,pm_momo
shop_005,pm_cash
shop_005,pm_card
shop_005,pm_zalopay
shop_005,pm_momo
shop_005,pm_shopeepay
shop_006,pm_zalopay
shop_006,pm_shopeepay
shop_006,pm_card
shop_007,pm_shopeepay
shop_007,pm_card
shop_007,pm_cash
shop_007,pm_momo
shop_008,pm_zalopay
shop_008,pm_card
shop_008,pm_cash
shop_008,pm_momo
shop_009,pm_momo
shop_009,pm_zalopay
shop_009,pm_shopeepay
shop_009,pm_card
shop_009,pm_cash
shop_010,pm_shopeepay
shop_010,pm_zalopay
shop_010,pm_momo
shop_011,pm_shopeepay
shop_011,pm_cash
shop_011,pm_card
shop_011,pm_zalopay
shop_012,pm_zalopay
shop_012,pm_momo
shop_012,pm_card
shop_012,pm_shopeepay
shop_013,pm_momo
shop_013,pm_shopeepay
shop_013,pm_zalopay
shop_013,pm_cash
shop_014,pm_card
shop_014,pm_zalopay
shop_014,pm_cash
shop_014,pm_momo
shop_015,pm_zalopay
shop_015,pm_card
shop_015,pm_momo
shop_015,pm_cash
shop_016,pm_cash
shop_016,pm_momo
shop_016,pm_shopeepay
shop_016,pm_card
shop_017,pm_cash
shop_017,pm_card
shop_017,pm_momo
shop_018,pm_shopeepay
shop_018,pm_zalopay
shop_018,pm_card
shop_018,pm_momo
shop_019,pm_shopeepay
shop_019,pm_card
shop_019,pm_zalopay
shop_020,pm_momo
shop_020,pm_card
shop_020,pm_shopeepay
shop_020,pm_cash
shop_021,pm_zalopay
shop_021,pm_cash
shop_021,pm_momo
shop_022,pm_cash
shop_022,pm_card
shop_022,pm_shopeepay
shop_022,pm_momo
shop_023,pm_zalopay
shop_023,pm_card
shop_023,pm_shopeepay
shop_024,pm_momo
shop_024,pm_shopeepay
shop_024,pm_card
shop_024,pm_zalopay
shop_025,pm_momo
shop_025,pm_card
shop_025,pm_cash
shop_026,pm_zalopay
shop_026,pm_shopeepay
shop_026,pm_momo
shop_027,pm_shopeepay
shop_027,pm_momo
shop_027,pm_card
shop_027,pm_zalopay
shop_027,pm_cash
shop_028,pm_cash
shop_028,pm_card
shop_028,pm_zalopay
shop_028,pm_shopeepay
shop_028,pm_momo
shop_029,pm_zalopay
shop_029,pm_momo
shop_029,pm_shopeepay
shop_030,pm_momo
shop_030,pm_card
shop_030,pm_zalopay
shop_031,pm_card
shop_031,pm_zalopay
shop_031,pm_cash
shop_032,pm_momo
shop_032,pm_shopeepay
shop_032,pm_card
shop_032,pm_zalopay
shop_032,pm_cash
shop_033,pm_cash
shop_033,pm_zalopay
shop_033,pm_shopeepay
shop_033,pm_card
shop_033,pm_momo
shop_034,pm_momo
shop_034,pm_zalopay
shop_034,pm_cash
shop_034,pm_card
shop_035,pm_shopeepay
shop_035,pm_card
shop_035,pm_cash
shop_035,pm_zalopay
shop_036,pm_cash
shop_036,pm_card
shop_036,pm_momo
shop_036,pm_shopeepay
shop_036,pm_zalopay
shop_037,pm_cash
shop_037,pm_shopeepay
shop_037,pm_momo
shop_038,pm_card
shop_038,pm_zalopay
shop_038,pm_shopeepay
shop_039,pm_momo
shop_039,pm_shopeepay
shop_039,pm_zalopay
shop_039,pm_cash
shop_040,pm_shopeepay
shop_040,pm_momo
shop_040,pm_cash
shop_040,pm_card
shop_040,pm_zalopay
shop_041,pm_card
shop_041,pm_shopeepay
shop_041,pm_momo
shop_041,pm_cash
shop_041,pm_zalopay
shop_042,pm_shopeepay
shop_042,pm_card
shop_042,pm_cash
shop_043,pm_shopeepay
shop_043,pm_zalopay
shop_043,pm_card
shop_043,pm_momo
shop_044,pm_momo
shop_044,pm_card
shop_044,pm_cash
shop_044,pm_zalopay
