shop_id,promotion_id
shop_001,promo_008
shop_001,promo_004
shop_002,promo_006
shop_002,promo_004
shop_003,promo_001
shop_003,promo_005
shop_003,promo_003
shop_004,promo_004
shop_005,promo_003
shop_006,promo_004
shop_006,promo_003
shop_006,promo_007
shop_007,promo_008
shop_007,promo_004
shop_008,promo_008
shop_009,promo_005
shop_010,promo_007
shop_010,promo_006
shop_010,promo_002
shop_011,promo_006
shop_011,promo_003
shop_012,promo_003
shop_012,promo_001
shop_012,promo_006
shop_013,promo_008
shop_013,promo_006
shop_013,promo_007
shop_014,promo_005
shop_015,promo_003
shop_015,promo_005
shop_015,promo_001
shop_016,promo_004
shop_016,promo_003
shop_016,promo_007
shop_017,promo_007
shop_017,promo_008
shop_017,promo_004
shop_018,promo_003
shop_018,promo_006
shop_018,promo_001
shop_019,promo_003
shop_019,promo_002
shop_019,promo_006
shop_020,promo_007
shop_020,promo_001
shop_021,promo_006
shop_022,promo_008
shop_022,promo_006
shop_023,promo_001
shop_023,promo_006
shop_023,promo_003
shop_024,promo_003
shop_025,promo_003
shop_025,promo_008
shop_026,promo_007
shop_026,promo_003
shop_027,promo_004
shop_028,promo_008
shop_028,promo_002
shop_029,promo_004
shop_029,promo_002
shop_030,promo_007
shop_030,promo_008
shop_030,promo_003
shop_031,promo_006
shop_032,promo_002
shop_032,promo_007
shop_032,promo_003
shop_033,promo_004
shop_033,promo_002
shop_034,promo_002
shop_034,promo_005
shop_035,promo_008
shop_035,promo_006
shop_036,promo_002
shop_036,promo_008
shop_037,promo_003
shop_038,promo_004
shop_039,promo_004
shop_039,promo_007
shop_039,promo_008
shop_040,promo_007
shop_040,promo_003
shop_041,promo_006
shop_041,promo_002
shop_041,promo_008
shop_042,promo_007
shop_042,promo_006
shop_042,promo_008
shop_043,promo_006
shop_044,promo_005
shop_044,promo_006
