shop_id,tag_id
shop_001,tag_025
shop_001,tag_055
shop_001,tag_093
shop_001,tag_062
shop_001,tag_065
shop_002,tag_057
shop_002,tag_017
shop_002,tag_092
shop_002,tag_094
shop_002,tag_065
shop_003,tag_051
shop_003,tag_098
shop_003,tag_090
shop_003,tag_094
shop_003,tag_065
shop_004,tag_039
shop_004,tag_086
shop_004,tag_089
shop_004,tag_068
shop_004,tag_065
shop_005,tag_046
shop_005,tag_017
shop_005,tag_051
shop_005,tag_094
shop_005,tag_065
shop_006,tag_092
shop_006,tag_071
shop_006,tag_035
shop_006,tag_055
shop_006,tag_065
shop_007,tag_066
shop_007,tag_057
shop_007,tag_092
shop_007,tag_035
shop_007,tag_065
shop_008,tag_011
shop_008,tag_055
shop_008,tag_093
shop_008,tag_032
shop_008,tag_065
shop_009,tag_067
shop_009,tag_090
shop_009,tag_064
shop_009,tag_094
shop_009,tag_065
shop_010,tag_052
shop_010,tag_075
shop_010,tag_002
shop_010,tag_093
shop_010,tag_065
shop_011,tag_044
shop_011,tag_057
shop_011,tag_094
shop_011,tag_017
shop_011,tag_065
shop_012,tag_018
shop_012,tag_039
shop_012,tag_086
shop_012,tag_055
shop_012,tag_065
shop_013,tag_031
shop_013,tag_050
shop_013,tag_090
shop_013,tag_092
shop_013,tag_065
shop_014,tag_004
shop_014,tag_033
shop_014,tag_094
shop_014,tag_035
shop_014,tag_065
shop_015,tag_026
shop_015,tag_093
shop_015,tag_032
shop_015,tag_062
shop_015,tag_065
shop_016,tag_014
shop_016,tag_049
shop_016,tag_090
shop_016,tag_097
shop_016,tag_065
shop_017,tag_079
shop_017,tag_099
shop_017,tag_095
shop_017,tag_060
shop_017,tag_065
shop_018,tag_021
shop_018,tag_032
shop_018,tag_092
shop_018,tag_088
shop_018,tag_065
shop_019,tag_025
shop_019,tag_055
shop_019,tag_034
shop_019,tag_093
shop_019,tag_065
shop_020,tag_006
shop_020,tag_040
shop_020,tag_057
shop_020,tag_094
shop_020,tag_065
shop_021,tag_053
shop_021,tag_017
shop_021,tag_019
shop_021,tag_094
shop_021,tag_065
shop_022,tag_048
shop_022,tag_071
shop_022,tag_095
shop_022,tag_088
shop_022,tag_065
shop_023,tag_084
shop_023,tag_092
shop_023,tag_071
shop_023,tag_062
shop_023,tag_065
shop_024,tag_013
shop_024,tag_057
shop_024,tag_092
shop_024,tag_055
shop_024,tag_065
shop_025,tag_083
shop_025,tag_042
shop_025,tag_035
shop_025,tag_093
shop_025,tag_065
shop_026,tag_029
shop_026,tag_093
shop_026,tag_035
shop_026,tag_022
shop_026,tag_065
shop_027,tag_101
shop_027,tag_040
shop_027,tag_094
shop_027,tag_088
shop_027,tag_065
shop_028,tag_015
shop_028,tag_003
shop_028,tag_092
shop_028,tag_099
shop_028,tag_065
shop_029,tag_047
shop_029,tag_054
shop_029,tag_093
shop_029,tag_097
shop_029,tag_065
shop_030,tag_045
shop_030,tag_076
shop_030,tag_090
shop_030,tag_017
shop_030,tag_065
shop_031,tag_027
shop_031,tag_055
shop_031,tag_093
shop_031,tag_032
shop_031,tag_065
shop_032,tag_069
shop_032,tag_052
shop_032,tag_057
shop_032,tag_094
shop_032,tag_065
shop_033,tag_049
shop_033,tag_011
shop_033,tag_093
shop_033,tag_063
shop_033,tag_065
shop_034,tag_051
shop_034,tag_028
shop_034,tag_093
shop_034,tag_017
shop_034,tag_065
shop_035,tag_023
shop_035,tag_059
shop_035,tag_017
shop_035,tag_094
shop_035,tag_065
shop_036,tag_072
shop_036,tag_039
shop_036,tag_086
shop_036,tag_093
shop_036,tag_065
shop_037,tag_010
shop_037,tag_092
shop_037,tag_062
shop_037,tag_097
shop_037,tag_065
shop_038,tag_038
shop_038,tag_039
shop_038,tag_091
shop_038,tag_086
shop_038,tag_065
shop_039,tag_041
shop_039,tag_057
shop_039,tag_092
shop_039,tag_055
shop_039,tag_065
shop_040,tag_008
shop_040,tag_055
shop_040,tag_090
shop_040,tag_036
shop_040,tag_065
shop_041,tag_073
shop_041,tag_035
shop_041,tag_093
shop_041,tag_003
shop_041,tag_065
shop_042,tag_001
shop_042,tag_063
shop_042,tag_090
shop_042,tag_097
shop_042,tag_065
shop_043,tag_007
shop_043,tag_080
shop_043,tag_015
shop_043,tag_060
shop_043,tag_065
shop_044,tag_012
shop_044,tag_054
shop_044,tag_057
shop_044,tag_040
shop_044,tag_065
