id,shop_id,base_fee,fee_per_km,free_delivery_min_order,max_distance_km,estimated_distance_km,estimated_fee
deliv_001,shop_001,7000,2500,150000,5.7,0.9,9000
deliv_002,shop_002,8000,2500,100000,6.0,3.6,17000
deliv_003,shop_003,8000,2500,150000,5.4,1.5,12000
deliv_004,shop_004,8000,2500,120000,5.1,4.2,18000
deliv_005,shop_005,12000,4000,,5.9,2.8,23000
deliv_006,shop_006,12000,3500,150000,4.7,1.0,16000
deliv_007,shop_007,7000,3500,150000,6.1,3.9,21000
deliv_008,shop_008,8000,3500,100000,6.0,3.6,21000
deliv_009,shop_009,8000,3500,120000,6.2,2.3,16000
deliv_010,shop_010,10000,2500,,5.4,2.1,15000
deliv_011,shop_011,7000,3500,120000,5.3,2.9,17000
deliv_012,shop_012,10000,3000,150000,6.7,2.0,16000
deliv_013,shop_013,7000,2500,150000,5.9,0.6,8000
deliv_014,shop_014,7000,2500,120000,4.5,3.0,14000
deliv_015,shop_015,12000,2500,,5.8,1.2,15000
deliv_016,shop_016,7000,3000,120000,6.5,1.4,11000
deliv_017,shop_017,12000,2500,120000,6.0,2.9,19000
deliv_018,shop_018,8000,2500,100000,5.9,1.9,13000
deliv_019,shop_019,7000,3500,100000,5.2,2.5,16000
deliv_020,shop_020,8000,3000,120000,5.3,1.8,13000
deliv_021,shop_021,7000,3000,150000,5.8,4.7,21000
deliv_022,shop_022,7000,4000,100000,4.5,2.1,15000
deliv_023,shop_023,7000,3500,150000,6.2,4.2,22000
deliv_024,shop_024,8000,4000,150000,5.3,3.5,22000
deliv_025,shop_025,8000,3000,100000,6.1,3.6,19000
deliv_026,shop_026,10000,4000,120000,4.9,2.7,21000
deliv_027,shop_027,10000,4000,150000,5.4,3.2,23000
deliv_028,shop_028,7000,3000,100000,4.5,4.2,20000
deliv_029,shop_029,10000,3000,100000,5.6,1.5,14000
deliv_030,shop_030,7000,3000,120000,5.9,2.6,15000
deliv_031,shop_031,10000,2500,120000,6.1,2.8,17000
deliv_032,shop_032,8000,3500,120000,5.1,3.8,21000
deliv_033,shop_033,12000,3000,,4.7,1.0,15000
deliv_034,shop_034,10000,3500,120000,6.1,4.3,25000
deliv_035,shop_035,10000,3500,150000,6.3,3.1,21000
deliv_036,shop_036,12000,2500,100000,5.7,2.8,19000
deliv_037,shop_037,7000,3500,,5.5,2.8,17000
deliv_038,shop_038,7000,4000,120000,5.9,4.0,23000
deliv_039,shop_039,12000,4000,100000,6.0,4.3,29000
deliv_040,shop_040,10000,2500,120000,6.6,2.9,17000
deliv_041,shop_041,7000,3500,,6.2,0.8,10000
deliv_042,shop_042,12000,2500,120000,6.3,3.0,20000
deliv_043,shop_043,7000,3500,,4.7,0.7,9000
deliv_044,shop_044,8000,3000,,6.4,3.7,19000
