id,item_id,option_group,option_name,price_delta,is_default,display_order
opt_001_001_01,item_001_001,Khẩu phần,thường,0,1,1
opt_001_001_02,item_001_001,Khẩu phần,thêm topping,15000,0,2
opt_001_002_01,item_001_002,Khẩu phần,thường,0,1,1
opt_001_002_02,item_001_002,Khẩu phần,thêm topping,15000,0,2
opt_001_003_01,item_001_003,Mức cay,ít cay,0,0,1
opt_001_003_02,item_001_003,Mức cay,vừa,0,1,2
opt_001_003_03,item_001_003,Mức cay,cay nhiều,5000,0,3
opt_001_004_01,item_001_004,Khẩu phần,thường,0,1,1
opt_001_004_02,item_001_004,Khẩu phần,thêm topping,15000,0,2
opt_001_005_01,item_001_005,Khẩu phần,thường,0,1,1
opt_001_005_02,item_001_005,Khẩu phần,thêm topping,15000,0,2
opt_001_006_01,item_001_006,Đường,0%,0,0,1
opt_001_006_02,item_001_006,Đường,50%,0,1,2
opt_001_006_03,item_001_006,Đường,100%,0,0,3
opt_001_006_04,item_001_006,Đá,ít đá,0,0,4
opt_001_006_05,item_001_006,Đá,bình thường,0,1,5
opt_002_001_01,item_002_001,Mức cay,ít cay,0,0,1
opt_002_001_02,item_002_001,Mức cay,vừa,0,1,2
opt_002_001_03,item_002_001,Mức cay,cay nhiều,5000,0,3
opt_002_002_01,item_002_002,Mức cay,ít cay,0,0,1
opt_002_002_02,item_002_002,Mức cay,vừa,0,1,2
opt_002_002_03,item_002_002,Mức cay,cay nhiều,5000,0,3
opt_002_003_01,item_002_003,Mức cay,ít cay,0,0,1
opt_002_003_02,item_002_003,Mức cay,vừa,0,1,2
opt_002_003_03,item_002_003,Mức cay,cay nhiều,5000,0,3
opt_002_004_01,item_002_004,Mức cay,ít cay,0,0,1
opt_002_004_02,item_002_004,Mức cay,vừa,0,1,2
opt_002_004_03,item_002_004,Mức cay,cay nhiều,5000,0,3
opt_002_005_01,item_002_005,Khẩu phần,thường,0,1,1
opt_002_005_02,item_002_005,Khẩu phần,thêm topping,15000,0,2
opt_002_006_01,item_002_006,Đường,0%,0,0,1
opt_002_006_02,item_002_006,Đường,50%,0,1,2
opt_002_006_03,item_002_006,Đường,100%,0,0,3
opt_002_006_04,item_002_006,Đá,ít đá,0,0,4
opt_002_006_05,item_002_006,Đá,bình thường,0,1,5
opt_003_001_01,item_003_001,Mức cay,ít cay,0,0,1
opt_003_001_02,item_003_001,Mức cay,vừa,0,1,2
opt_003_001_03,item_003_001,Mức cay,cay nhiều,5000,0,3
opt_003_002_01,item_003_002,Size,vừa,0,1,1
opt_003_002_02,item_003_002,Size,lớn,25000,0,2
opt_003_003_01,item_003_003,Khẩu phần,thường,0,1,1
opt_003_003_02,item_003_003,Khẩu phần,thêm topping,15000,0,2
opt_003_004_01,item_003_004,Khẩu phần,thường,0,1,1
opt_003_004_02,item_003_004,Khẩu phần,thêm topping,15000,0,2
opt_003_005_01,item_003_005,Mức cay,ít cay,0,0,1
opt_003_005_02,item_003_005,Mức cay,vừa,0,1,2
opt_003_005_03,item_003_005,Mức cay,cay nhiều,5000,0,3
opt_003_006_01,item_003_006,Mức cay,ít cay,0,0,1
