item_id,promotion_id
item_001_001,promo_008
item_001_002,promo_008
item_001_003,promo_008
item_001_005,promo_008
item_002_002,promo_006
item_002_005,promo_004
item_003_004,promo_005
item_003_005,promo_005
item_004_003,promo_004
item_004_005,promo_004
item_004_006,promo_004
item_005_001,promo_003
item_005_002,promo_003
item_005_003,promo_003
item_005_004,promo_003
item_005_006,promo_003
item_006_002,promo_007
item_006_003,promo_007
item_006_004,promo_004
item_006_005,promo_007
item_006_006,promo_004
item_007_001,promo_004
item_007_002,promo_004
item_007_004,promo_008
item_007_006,promo_004
item_008_001,promo_008
item_008_002,promo_008
item_008_005,promo_008
item_009_001,promo_005
item_009_003,promo_005
item_009_006,promo_005
item_010_001,promo_002
item_010_002,promo_002
item_010_004,promo_006
item_011_003,promo_003
item_011_005,promo_006
item_011_006,promo_003
item_012_001,promo_006
item_012_002,promo_001
item_012_005,promo_003
item_013_002,promo_006
item_013_004,promo_006
item_013_006,promo_006
item_014_003,promo_005
item_015_002,promo_001
item_015_003,promo_005
item_015_004,promo_001
item_015_006,promo_005
item_016_003,promo_007
item_016_006,promo_007
item_017_005,promo_008
item_017_006,promo_004
item_018_002,promo_006
item_018_003,promo_001
item_018_004,promo_006
item_018_006,promo_006
item_019_001,promo_006
item_019_003,promo_002
item_019_005,promo_006
item_020_001,promo_001
item_020_002,promo_007
item_020_004,promo_007
item_020_005,promo_001
item_021_001,promo_006
item_021_002,promo_006
item_021_003,promo_006
item_021_006,promo_006
item_022_001,promo_006
item_022_002,promo_008
item_022_004,promo_006
item_022_006,promo_008
item_023_002,promo_006
item_023_004,promo_003
item_023_005,promo_006
item_024_003,promo_003
item_024_006,promo_003
item_025_004,promo_008
item_025_005,promo_008
item_027_002,promo_004
item_027_004,promo_004
item_028_004,promo_002
item_029_002,promo_002
item_029_003,promo_004
item_029_004,promo_002
item_029_005,promo_002
item_030_002,promo_008
item_030_004,promo_003
item_030_006,promo_008
item_031_004,promo_006
item_031_005,promo_006
item_032_002,promo_002
item_032_005,promo_007
item_032_006,promo_007
item_033_001,promo_004
item_033_002,promo_004
item_033_003,promo_004
item_033_005,promo_004
item_033_006,promo_002
item_034_001,promo_005
item_034_003,promo_002
item_034_005,promo_002
item_034_006,promo_005
item_035_003,promo_006
item_035_004,promo_008
item_036_002,promo_002
item_036_003,promo_008
item_036_004,promo_002
item_036_005,promo_002
item_037_004,promo_003
item_037_005,promo_003
item_037_006,promo_003
item_038_002,promo_004
item_038_004,promo_004
item_038_005,promo_004
item_039_002,promo_004
item_039_003,promo_004
item_039_006,promo_008
item_040_002,promo_007
item_040_003,promo_007
item_040_005,promo_007
item_041_001,promo_006
item_041_003,promo_002
item_041_004,promo_008
item_041_005,promo_002
item_042_004,promo_006
item_043_002,promo_006
item_043_005,promo_006
item_044_003,promo_005
item_044_005,promo_006
