item_id,tag_id
item_001_001,tag_062
item_001_001,tag_005
item_001_001,tag_093
item_001_001,tag_074
item_001_002,tag_032
item_001_002,tag_092
item_001_002,tag_093
item_001_002,tag_096
item_001_003,tag_097
item_001_003,tag_062
item_001_003,tag_096
item_001_004,tag_055
item_001_004,tag_032
item_001_005,tag_058
item_001_005,tag_086
item_001_005,tag_096
item_001_006,tag_099
item_001_006,tag_037
item_002_001,tag_056
item_002_001,tag_097
item_002_001,tag_005
item_002_001,tag_074
item_002_002,tag_057
item_002_002,tag_092
item_002_002,tag_096
item_002_003,tag_062
item_002_003,tag_097
item_002_004,tag_085
item_002_004,tag_032
item_002_005,tag_078
item_002_005,tag_096
item_002_006,tag_099
item_002_006,tag_077
item_003_001,tag_056
item_003_001,tag_090
item_003_001,tag_097
item_003_001,tag_074
item_003_002,tag_043
item_003_002,tag_032
item_003_003,tag_093
item_003_003,tag_062
item_003_004,tag_095
item_003_004,tag_009
item_003_004,tag_096
item_003_005,tag_051
item_003_005,tag_017
item_003_005,tag_096
item_003_006,tag_090
item_003_006,tag_022
item_003_006,tag_074
item_004_001,tag_039
item_004_001,tag_068
item_004_001,tag_086
item_004_001,tag_074
item_004_002,tag_039
item_004_002,tag_087
item_004_003,tag_039
item_004_003,tag_068
item_004_003,tag_096
item_004_003,tag_074
item_004_004,tag_018
item_004_004,tag_039
item_004_005,tag_039
item_004_005,tag_091
item_004_005,tag_096
item_004_006,tag_030
item_004_006,tag_039
item_004_006,tag_096
item_004_006,tag_074
item_005_001,tag_070
item_005_001,tag_040
item_005_001,tag_005
item_005_001,tag_096
item_005_001,tag_074
item_005_002,tag_082
item_005_002,tag_094
item_005_002,tag_096
item_005_003,tag_017
item_005_003,tag_009
item_005_003,tag_096
item_005_004,tag_095
item_005_004,tag_051
item_005_004,tag_096
item_005_005,tag_095
item_005_005,tag_032
item_005_006,tag_099
item_005_006,tag_096
item_006_001,tag_071
item_006_001,tag_092
item_006_001,tag_005
item_006_001,tag_074
item_006_002,tag_071
item_006_002,tag_092
item_006_002,tag_096
item_006_003,tag_092
item_006_003,tag_097
item_006_003,tag_096
item_006_004,tag_092
item_006_004,tag_032
item_006_004,tag_096
item_006_005,tag_071
item_006_005,tag_099
item_006_006,tag_099
item_006_006,tag_024
item_006_006,tag_096
item_007_001,tag_057
item_007_001,tag_092
item_007_001,tag_096
item_007_001,tag_074
item_007_002,tag_032
item_007_002,tag_057
item_007_003,tag_062
item_007_003,tag_005
item_007_003,tag_074
item_007_004,tag_032
item_007_004,tag_092
item_007_005,tag_078
item_007_006,tag_071
item_007_006,tag_099
item_008_001,tag_005
item_008_001,tag_093
item_008_001,tag_096
item_008_001,tag_074
item_008_002,tag_097
item_008_002,tag_032
item_008_002,tag_096
item_008_003,tag_062
item_008_003,tag_093
item_008_004,tag_091
item_008_004,tag_086
item_008_005,tag_078
item_008_005,tag_036
item_008_005,tag_096
item_008_006,tag_099
item_009_001,tag_090
item_009_001,tag_005
item_009_001,tag_074
item_009_002,tag_040
item_009_002,tag_090
item_009_003,tag_097
item_009_003,tag_094
item_009_003,tag_096
item_009_004,tag_032
item_009_004,tag_062
item_009_005,tag_095
item_009_006,tag_022
item_009_006,tag_090
item_009_006,tag_096
item_010_001,tag_093
item_010_001,tag_016
item_010_001,tag_096
item_010_001,tag_074
item_010_002,tag_081
item_010_002,tag_016
item_010_002,tag_074
item_010_003,tag_032
item_010_003,tag_052
item_010_004,tag_062
item_010_004,tag_093
item_010_004,tag_096
item_010_005,tag_058
item_010_006,tag_099
item_011_001,tag_017
item_011_001,tag_040
item_011_001,tag_094
item_011_001,tag_074
item_011_002,tag_017
item_011_002,tag_062
item_011_003,tag_018
item_011_003,tag_039
item_011_004,tag_078
item_011_005,tag_039
item_011_005,tag_078
item_011_005,tag_096
item_011_006,tag_099
item_011_006,tag_096
item_011_006,tag_074
item_012_001,tag_018
item_012_001,tag_093
item_012_001,tag_074
item_012_002,tag_018
item_012_002,tag_057
item_012_002,tag_096
item_012_003,tag_018
item_012_003,tag_091
