id,shop_id,day_of_week,open_time,close_time,is_closed
hour_001_1,shop_001,1,09:00,22:30,0
hour_001_2,shop_001,2,10:00,23:00,0
hour_001_3,shop_001,3,10:00,23:00,0
hour_001_4,shop_001,4,09:00,22:30,0
hour_001_5,shop_001,5,08:00,22:00,0
hour_001_6,shop_001,6,08:00,22:00,0
hour_001_7,shop_001,7,09:00,22:30,0
hour_002_1,shop_002,1,06:00,20:30,0
hour_002_2,shop_002,2,06:00,20:30,0
hour_002_3,shop_002,3,06:30,21:00,0
hour_002_4,shop_002,4,06:30,21:00,0
hour_002_5,shop_002,5,06:00,20:30,0
hour_002_6,shop_002,6,07:00,19:30,0
hour_002_7,shop_002,7,06:00,20:30,0
hour_003_1,shop_003,1,07:00,21:00,0
hour_003_2,shop_003,2,07:00,21:00,0
hour_003_3,shop_003,3,09:00,22:30,0
hour_003_4,shop_003,4,08:00,22:00,0
hour_003_5,shop_003,5,09:00,22:30,0
hour_003_6,shop_003,6,08:00,22:00,0
hour_003_7,shop_003,7,09:00,22:30,0
hour_004_1,shop_004,1,10:00,23:00,0
hour_004_2,shop_004,2,09:00,22:30,0
hour_004_3,shop_004,3,07:00,21:00,0
hour_004_4,shop_004,4,10:00,23:00,0
hour_004_5,shop_004,5,07:00,21:00,0
hour_004_6,shop_004,6,07:00,21:00,0
hour_004_7,shop_004,7,08:00,22:00,0
hour_005_1,shop_005,1,08:00,22:00,0
hour_005_2,shop_005,2,10:00,23:00,0
hour_005_3,shop_005,3,08:00,22:00,0
hour_005_4,shop_005,4,08:00,22:00,0
hour_005_5,shop_005,5,08:00,22:00,0
hour_005_6,shop_005,6,10:00,23:00,0
hour_005_7,shop_005,7,10:00,23:00,0
hour_006_1,shop_006,1,06:30,21:00,0
hour_006_2,shop_006,2,06:00,20:30,0
hour_006_3,shop_006,3,06:00,20:30,0
hour_006_4,shop_006,4,06:30,21:00,0
hour_006_5,shop_006,5,06:00,20:30,0
hour_006_6,shop_006,6,06:00,20:30,0
hour_006_7,shop_006,7,06:00,20:30,0
