item_id,item_name,base_price,effective_price,item_rating,item_sold_count,spicy_level,calories_estimate,is_available,is_signature,category_name,shop_id,shop_name,shop_rating,shop_status,avg_delivery_time_min,min_order_amount,full_address,latitude,longitude,estimated_delivery_fee,recommendation_score
item_021_001,Pad Thai tôm,89000,80000,4.8,2575,2,340,1,1,Mì xào,shop_021,Bếp Thái Tuk Tuk,4.7,open,16,30000,"146 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.782896,106.703009,21000,0.9149
item_018_002,Cháo thịt bằm trứng bắc thảo,45000,43000,4.9,3220,0,734,1,0,Cháo,shop_018,Cháo Sườn Chú Tư,4.8,open,18,30000,"102 Trần Đình Xu, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",10.761434,106.687313,13000,0.913
item_018_004,Súp cua,35000,33000,4.8,1941,0,596,1,0,Súp,shop_018,Cháo Sườn Chú Tư,4.8,open,18,30000,"102 Trần Đình Xu, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",10.761434,106.687313,13000,0.906
item_041_005,Cookie chocolate,25000,24000,4.8,1720,0,341,1,0,Tráng miệng,shop_041,Sandwich Deli Corner,4.7,open,16,20000,"28 Mạc Thị Bưởi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.780991,106.706304,10000,0.9038
item_021_003,Tom Yum hải sản,99000,91000,4.6,2686,4,575,1,1,Súp,shop_021,Bếp Thái Tuk Tuk,4.7,open,16,30000,"146 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.782896,106.703009,21000,0.9009
item_018_003,Cháo gà xé nấm,49000,44000,4.7,2322,0,478,1,0,Cháo,shop_018,Cháo Sườn Chú Tư,4.8,open,18,30000,"102 Trần Đình Xu, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",10.761434,106.687313,13000,0.899
item_036_003,Wrap gà ngũ cốc,75000,71000,4.5,2770,0,546,1,1,Wrap,shop_036,Salad Stop Mini,4.3,open,18,50000,"24 Phan Bội Châu, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",10.772637,106.697942,19000,0.885
item_035_004,Cơm basmati,25000,23000,5.0,2082,0,98,1,0,Món thêm,shop_035,Bếp Ấn Curry Corner,4.8,open,26,20000,"182 Lê Lợi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.776525,106.703176,21000,0.8844
item_023_002,Xôi mặn thập cẩm,40000,34000,4.5,2139,0,570,1,1,Xôi,shop_023,Xôi Mặn Cô Ba,4.3,open,22,50000,"152 Trương Định, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",10.77087,106.695812,22000,0.8672
item_011_005,Rau nấm thêm,25000,24000,4.3,3169,0,163,1,0,Món thêm,shop_011,Lẩu Mini Một Người,4.1,open,19,40000,"202 Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",10.756856,106.690981,17000,0.8666
item_004_005,Smoothie chuối bơ đậu phộng,49000,42000,4.3,3734,0,299,1,0,Đồ uống,shop_004,Healthy Bowl Saigon,4.1,open,20,25000,"46 Yersin, Phường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh",10.765494,106.699933,18000,0.8621
item_023_005,Chả lụa thêm,12000,10000,4.4,1785,0,123,1,0,Món thêm,shop_023,Xôi Mặn Cô Ba,4.3,open,22,50000,"152 Trương Định, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",10.77087,106.695812,22000,0.8581
item_016_003,Bún đậu chả cốm,69000,66000,5.0,3171,0,657,1,1,Bún đậu,shop_016,Bún Đậu Mắm Tôm Hà Nội,4.9,open,32,40000,"Hẻm 77/190 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",10.789933,106.690592,11000,0.8578
item_016_006,Nước mơ Hà Nội,25000,22000,5.0,2914,0,281,1,0,Đồ uống,shop_016,Bún Đậu Mắm Tôm Hà Nội,4.9,open,32,40000,"Hẻm 77/190 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",10.789933,106.690592,11000,0.8578
item_035_003,Cà ri đậu gà chay,89000,85000,4.6,2057,2,578,1,0,Curry,shop_035,Bếp Ấn Curry Corner,4.8,open,26,20000,"182 Lê Lợi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.776525,106.703176,21000,0.8564
item_017_005,Topping trân châu trắng,10000,9000,4.6,1577,0,196,1,0,Topping,shop_017,Trà Sữa Moon Tea,4.7,open,20,30000,"97 Lê Thánh Tôn, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",10.775029,106.695009,19000,0.8521
item_044_003,Bún chả cá Nha Trang,59000,53000,4.7,2651,0,567,1,0,Bún,shop_044,Bún Cá Nha Trang,4.8,open,29,30000,"16 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh",10.765811,106.70282,19000,0.8501
item_034_006,Trà gạo rang,25000,21000,4.1,2647,0,376,1,0,Đồ uống,shop_034,Cơm Trộn Bibimbap House,4.2,open,21,60000,"62 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",10.792729,106.690306,25000,0.8437
item_009_003,Pizza bò BBQ size M,139000,118000,4.1,2371,0,756,1,0,Pizza,shop_009,Pizza Urban Slice,4.1,open,23,50000,"147 Đồng Khởi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.776256,106.702768,16000,0.8348
item_037_004,Khoai tây chiên bò né,25000,23000,4.1,3145,0,183,1,1,Món thêm,shop_037,Bò Né 3 Ngon,4.3,open,23,20000,"Hẻm 67/195 Bùi Viện, Phường Nguyễn Cư Trinh, Quận 1, TP. Hồ Chí Minh",10.764737,106.68349,17000,0.8348
item_022_004,Mì trộn phô mai,52000,49000,4.6,3106,1,890,1,0,Mì,shop_022,Mì Trộn Indomie House,4.6,open,33,50000,"141 Cô Giang, Phường Cầu Ông Lãnh, Quận 1, TP. Hồ Chí Minh",10.764801,106.69773,15000,0.8253
item_021_005,Xôi xoài,55000,55000,4.9,3973,0,550,1,0,Tráng miệng,shop_021,Bếp Thái Tuk Tuk,4.7,open,16,30000,"146 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.782896,106.703009,21000,0.8219
item_010_001,Bento cá hồi teriyaki,119000,109000,4.8,1770,0,853,1,1,Bento,shop_010,Sushi Bento Tokyo,4.6,open,36,60000,"168 Hai Bà Trưng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.78321,106.705723,15000,0.8218
item_009_006,Combo pizza 2 người,199000,169000,3.9,3584,1,959,1,0,Combo,shop_009,Pizza Urban Slice,4.1,open,23,50000,"147 Đồng Khởi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",10.776256,106.702768,16000,0.8208
item_018_005,Quẩy thêm,10000,10000,5.0,3785,0,233,1,0,Món thêm,shop_018,Cháo Sườn Chú Tư,4.8,open,18,30000,"102 Trần Đình Xu, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",10.761434,106.687313,13000,0.82
item_004_003,Bowl bò áp chảo gạo lứt,99000,84000,4.1,1587,0,378,1,1,Healthy Bowl,shop_004,Healthy Bowl Saigon,4.1,open,20,25000,"46 Yersin, Phường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh",10.765494,106.699933,18000,0.8185
item_008_001,Bún thịt nướng chả giò,55000,50000,4.5,2253,0,377,1,1,Bún,shop_008,Bún Thịt Nướng An Nhiên,4.5,open,33,30000,"197 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP. Hồ Chí Minh",10.760948,106.688016,21000,0.8183
item_028_004,Cà phê sữa đá,35000,32000,4.7,3386,0,287,1,1,Cà phê,shop_028,Cà Phê Sáng & Brunch,4.7,open,37,25000,"43 Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",10.792032,106.699618,20000,0.8146
